CarNumber,Refund,Fines,Make,Model,Year
T686EO197RUS,1,1000.0,Toyota,Camry,1985
9943OH154RUS,1,400.0,Skoda,Octavia,2006
Y354O8197RUS,1,10800.0,Ford,Focus,2002
7065C8197RUS,1,3800.0,Volkswagen,Passat,2017
E28777161RUS,1,800.0,Ford,Focus,1995
M701T9152RUS,2,3000.0,Ford,Focus,1994
E577HE77RUS,2,12000.0,Ford,Focus,2007
92788M178RUS,1,1200.0,Ford,Focus,2001
9072EM178RUS,2,4400.0,Ford,Focus,1984
9409H7178RUS,1,3000.0,Skoda,Octavia,1998
C3829X154RUS,2,13500.0,Ford,Focus,2010
T478KX197RUS,2,7500.0,Ford,Focus,2006
T119CT96RUS,1,2000.0,Ford,Focus,2017
X795O796RUS,1,1000.0,Ford,Focus,2016
708487163RUS,1,1000.0,Ford,Focus,1985
H983HY161RUS,1,500.0,Ford,Focus,2011
7842C8197RUS,1,6000.0,Ford,Focus,1987
O64097197RUS,2,8594.5864661654,Ford,Focus,1991
Y693HM197RUS,2,6500.0,BMW,,2005
96857X197RUS,1,37800.0,Skoda,Octavia,1983
7177TT36RUS,1,500.0,Ford,Focus,1980
9428EX178RUS,1,500.0,Ford,Focus,1987
84438C154RUS,2,7600.0,Ford,Focus,1993
Y7689C197RUS,2,9000.0,Ford,Focus,1983
H427YH197RUS,1,9900.0,Volkswagen,Passat,2010
T394KX197RUS,2,1500.0,Ford,Focus,2002
O49897197RUS,2,11800.0,Ford,Focus,1983
H963X936RUS,1,1800.0,Skoda,Octavia,1994
T341CC96RUS,2,1000.0,Volkswagen,Passat,1999
9942KK197RUS,2,6200.0,Ford,Focus,1980
9141H8178RUS,1,300.0,Skoda,Octavia,1999
9942KK197RUS,2,3100.0,Ford,Focus,2011
7370C8197RUS,2,5000.0,Ford,Focus,1988
9890HX152RUS,2,9200.0,Ford,Focus,1995
9409H7178RUS,1,6000.0,Skoda,Octavia,2007
M268CH197RUS,1,800.0,Toyota,Camry,1996
Y780EE197RUS,1,2300.0,Volkswagen,Golf,2016
Y388E877RUS,2,9500.0,Ford,Focus,1999
C419X938RUS,1,1100.0,Ford,Focus,1984
M0319X197RUS,2,4500.0,Ford,Focus,2000
M577CH197RUS,2,17000.0,Ford,Focus,1985
7361C8197RUS,1,8594.5864661654,Ford,Focus,2018
H975HY161RUS,1,2000.0,Ford,Focus,2018
X018HY197RUS,2,10600.0,Toyota,Camry,2009
E33177152RUS,2,7100.0,Ford,Focus,1980
X256HE161RUS,2,1600.0,Ford,Focus,1990
Y7689C197RUS,2,45000.0,Ford,Focus,2006
7788KT197RUS,2,4000.0,Ford,Focus,1998
9491H7178RUS,1,500.0,Volkswagen,Jetta,2004
M374CH197RUS,1,5500.0,Ford,Focus,2010
96679X178RUS,2,2400.0,Ford,Focus,2001
9594HY161RUS,1,300.0,Ford,Focus,2018
83218C154RUS,1,100.0,Ford,Focus,2001
9764HY161RUS,1,800.0,Ford,Focus,2006
708187163RUS,1,1000.0,Ford,Focus,2015
H908YK197RUS,1,4800.0,Ford,Focus,2001
H004MH197RUS,2,19800.0,Ford,Focus,2007
92788M178RUS,1,300.0,Ford,Focus,1981
Y656E8750RUS,1,8594.5864661654,Skoda,Octavia,1987
9679EC178RUS,1,500.0,Ford,Focus,1984
O017KO197RUS,1,1600.0,Ford,Focus,2013
H957HY161RUS,1,1000.0,Ford,Focus,1984
X286TC36RUS,1,500.0,Ford,Focus,2014
C803KE163RUS,1,1000.0,Volkswagen,Jetta,1999
Y7379Y50RUS,2,2000.0,Ford,Focus,1981
X320MK197RUS,1,7500.0,Ford,Focus,1991
C476M7161RUS,2,500.0,Ford,Focus,2014
H844YH197RUS,1,1000.0,Ford,Focus,2009
96907X197RUS,2,3000.0,BMW,,1989
Y650E8750RUS,1,1000.0,Skoda,Octavia,2008
H235YH197RUS,2,5100.0,Skoda,Octavia,1991
9474EX178RUS,1,500.0,Ford,Focus,2003
Y8259C197RUS,1,1500.0,Ford,Focus,2012
E29577161RUS,1,500.0,Ford,Focus,1988
X761HY197RUS,2,18300.0,Ford,Focus,2003
H387TM197RUS,1,8594.5864661654,Volkswagen,Passat,1997
T396KX197RUS,2,10300.0,Ford,Focus,1985
C593EY154RUS,1,1000.0,Ford,Focus,2006
Y164O8161RUS,1,800.0,Ford,Focus,2018
M942OT152RUS,1,2000.0,Ford,Focus,2002
T476KX197RUS,2,4500.0,Ford,Focus,2000
H889YK197RUS,2,21200.0,Ford,Focus,1993
Y7429Y50RUS,2,2000.0,Ford,Focus,2013
H976HY161RUS,2,2200.0,Ford,Focus,2007
C410X938RUS,2,2200.0,Ford,Focus,1992
Y195O8161RUS,1,100.0,Ford,Focus,2004
O669E8197RUS,1,18000.0,Ford,Focus,2004
Y187O8161RUS,2,400.0,Ford,Focus,2004
K329T8197RUS,2,13000.0,Skoda,Octavia,1984
96659X178RUS,1,900.0,Ford,Focus,2006
7842C8197RUS,2,12000.0,Ford,Focus,2009
O275O7161RUS,1,8300.0,Ford,Focus,1997
9677MO178RUS,1,2200.0,Ford,Mondeo,2004
H957HY161RUS,1,8594.5864661654,Ford,Focus,2004
M0279X197RUS,2,36000.0,Ford,Focus,2015
9939KK197RUS,1,1600.0,Ford,Focus,1992
Y8399C197RUS,1,600.0,Ford,Focus,2005
M373CH197RUS,2,6600.0,Ford,Focus,1990
7164YM36RUS,2,18800.0,Ford,Focus,1983
7843C8197RUS,2,4100.0,Ford,Focus,2012
O753MX161RUS,2,700.0,Ford,Focus,2004
9468EX178RUS,2,2000.0,Ford,Focus,2007
T395KX197RUS,2,7600.0,Ford,Focus,2000
T6488M116RUS,2,21000.0,Ford,Focus,1989
7361C8197RUS,1,800.0,Ford,Focus,1981
98047H178RUS,1,500.0,Ford,Focus,1998
8316XX154RUS,1,1100.0,Ford,Focus,1995
O752MX161RUS,2,2600.0,Ford,Focus,1988
8234XX154RUS,2,2600.0,Ford,Focus,2008
9488EY178RUS,2,1300.0,Ford,Focus,2014
96857X197RUS,2,18900.0,Skoda,Octavia,1997
O481OH77RUS,2,1000.0,Toyota,Camry,1981
K326T8197RUS,1,100.0,Volkswagen,Passat,2015
90159H178RUS,1,8594.5864661654,Volkswagen,Passat,1988
9469EX178RUS,1,4200.0,Ford,Focus,2017
X796TH96RUS,1,500.0,Ford,Focus,1994
9499KX178RUS,1,4600.0,Ford,Focus,2005
Y358O8197RUS,2,21800.0,Ford,Focus,2015
C420X938RUS,2,3300.0,Ford,Focus,2006
Y965O8197RUS,2,1600.0,Ford,Focus,2002
96429X178RUS,2,1300.0,Ford,Focus,1982
Y274O8197RUS,2,10700.0,Ford,Focus,2011
Y358O8197RUS,1,43600.0,Ford,Focus,2012
E223YM197RUS,2,19500.0,Ford,Focus,1994
E42277152RUS,2,5300.0,Ford,Focus,1999
E34877152RUS,2,36600.0,Ford,Focus,2015
Y964EE197RUS,2,8594.5864661654,Ford,Focus,2015
T6049O50RUS,2,15000.0,Ford,Focus,1988
8601XX154RUS,1,3900.0,Skoda,Octavia,1985
H259HY161RUS,1,900.0,Toyota,Corolla,1983
T940CC96RUS,1,500.0,Ford,Focus,2014
T288CT96RUS,1,1500.0,Ford,Focus,1985
Y6839Y50RUS,1,1500.0,Ford,Focus,2018
Y344E877RUS,1,1000.0,Ford,Focus,2001
K889HY161RUS,2,46200.0,Ford,Mondeo,2013
H214X836RUS,1,8000.0,Ford,Focus,2006
T399KX197RUS,2,15300.0,Ford,Focus,1981
O421OT161RUS,1,1200.0,Skoda,Octavia,1999
H232YH197RUS,1,8594.5864661654,Ford,Focus,2001
7360C8197RUS,2,9600.0,Ford,Focus,1981
T6418M116RUS,1,49200.0,Ford,Focus,1981
7248C8197RUS,2,34400.0,Ford,Mondeo,2013
Y194O8161RUS,2,900.0,Ford,Focus,1987
9881HX152RUS,2,20600.0,Ford,Focus,2000
T6359O50RUS,2,13500.0,Ford,Focus,2010
E29677161RUS,2,6000.0,Ford,Focus,1982
T020MM116RUS,2,3000.0,Skoda,Octavia,1998
C798ET50RUS,1,5000.0,Ford,Focus,2013
Y7719C197RUS,2,4600.0,Ford,Focus,2006
9502XX38RUS,1,3000.0,Skoda,Octavia,1987
8521XX154RUS,1,1000.0,Ford,Focus,1981
Y273O8197RUS,2,26300.0,Ford,Focus,1984
M580CH197RUS,2,47500.0,Ford,Focus,1994
K376HE161RUS,1,100.0,Ford,Focus,2010
7193TT36RUS,2,3300.0,Ford,Focus,1997
O785T9163RUS,1,500.0,Ford,Focus,1980
H618YC38RUS,1,300.0,Volkswagen,Golf,1996
Y7689C197RUS,1,36000.0,Ford,Focus,1997
M592CH197RUS,1,3500.0,Skoda,Octavia,1991
Y352O8197RUS,2,77700.0,Ford,Focus,1999
9068EM178RUS,1,600.0,Ford,Focus,1982
7783KT197RUS,1,6000.0,Ford,Focus,2009
Y305E877RUS,2,2500.0,Ford,Focus,1990
E881OT197RUS,2,5500.0,Skoda,Octavia,2006
Y8259C197RUS,2,3000.0,Ford,Focus,2017
Y969O8197RUS,2,7800.0,Ford,Focus,1994
92928M178RUS,2,3000.0,Ford,Focus,2013
O718MM163RUS,2,7000.0,Ford,Focus,2016
Y7129Y50RUS,1,8594.5864661654,Ford,Focus,2015
9975CC77RUS,2,7000.0,Ford,Focus,2016
C592EY154RUS,1,2000.0,Ford,Focus,1993
T195OK161RUS,1,6700.0,Ford,Mondeo,1998
Y966O8197RUS,2,20800.0,Ford,Focus,1982
T914CT197RUS,2,7200.0,Toyota,Camry,2004
E41977152RUS,2,2400.0,Ford,Focus,1982
T171CC96RUS,1,1000.0,Ford,Focus,2001
9464EX178RUS,2,2100.0,Ford,Focus,1997
O50197197RUS,2,7800.0,Ford,Focus,1984
7608EE777RUS,1,4000.0,Skoda,Octavia,2018
X583HE161RUS,1,3000.0,Ford,Focus,1994
Y7229Y50RUS,2,2500.0,Ford,Focus,1992
M6977E152RUS,1,500.0,Ford,Focus,2003
K2797K154RUS,1,800.0,Ford,Focus,2010
8325M7154RUS,1,1000.0,Ford,Focus,1987
Y192O8161RUS,2,300.0,Ford,Focus,1999
7784KT197RUS,1,6600.0,Ford,Focus,2003
96599X178RUS,1,500.0,Ford,Focus,1982
X760HY197RUS,1,10100.0,Ford,Focus,1994
Y358O8197RUS,2,10900.0,Ford,Focus,2008
H966HY161RUS,1,500.0,Ford,Focus,2015
9938KK197RUS,2,28500.0,Ford,Focus,1991
98087H178RUS,1,8594.5864661654,Ford,Focus,1996
K2807K154RUS,1,500.0,Ford,Focus,2014
H977HY161RUS,1,600.0,Ford,Focus,2010
7367C8197RUS,1,6000.0,Ford,Focus,2007
9137X938RUS,1,1600.0,Ford,Focus,1994
Y356O8197RUS,2,15300.0,Ford,Focus,2005
9398MM199RUS,1,300.0,Volkswagen,Passat,1990
8436XX154RUS,1,2400.0,Ford,Focus,1994
8180XX154RUS,2,1400.0,Ford,Focus,2017
E53477152RUS,1,7200.0,Ford,Focus,2004
O718MM163RUS,2,3500.0,Ford,Focus,2008
9677MO178RUS,1,1100.0,Ford,Mondeo,1992
9498KX178RUS,1,4000.0,Ford,Focus,1986
K436MO152RUS,2,3000.0,Ford,Focus,2002
7194TT36RUS,2,2300.0,Ford,Focus,2001
7364C8197RUS,2,4500.0,Ford,Focus,1994
O136HO197RUS,2,7800.0,Toyota,Corolla,1987
O68897197RUS,2,12300.0,Ford,Focus,1992
O718MM163RUS,2,8594.5864661654,Ford,Focus,1999
7065C8197RUS,2,11400.0,Volkswagen,Passat,1990
O22097197RUS,1,24300.0,Ford,Focus,1998
Y163O8161RUS,2,1600.0,Ford,Focus,2002
M0309X197RUS,1,22300.0,Ford,Focus,2005
O673E8197RUS,2,600.0,Ford,Focus,1990
8610T8154RUS,1,2000.0,Ford,Focus,2000
H419XE197RUS,2,8594.5864661654,Toyota,Corolla,2018
Y687HM197RUS,2,5675.0,Skoda,Focus,2000
K330T8197RUS,2,5041.0,Ford,Focus,2005
Y316E877RUS,2,4319.0,Ford,Focus,1990
9943OH154RUS,1,4586.0,Ford,,1997
8603T8154RUS,2,5740.0,Skoda,Focus,1982
8685HE154RUS,1,6230.0,Ford,Focus,1982
X795O796RUS,1,4024.0,Ford,Focus,1981
M701T9152RUS,1,4554.0,Ford,Focus,1995
9020YC197RUS,2,5662.0,Ford,Focus,1984
H232YH197RUS,1,4652.0,Ford,Touareg,2005
X023HY197RUS,2,5027.0,Volkswagen,Focus,2008
T6559O50RUS,1,3318.0,Ford,Octavia,2010
7066C8197RUS,2,4102.0,Volkswagen,Focus,1987
T948OM96RUS,1,6082.0,Volkswagen,Focus,1991
Y965O8197RUS,1,2672.0,Ford,Focus,1997
H957HY161RUS,2,1618.0,Ford,Octavia,2016
T6419O50RUS,2,4960.0,Ford,Focus,1980
E28877161RUS,2,4612.0,Ford,Focus,2016
7843C8197RUS,1,3729.0,Ford,Focus,1995
O39997197RUS,2,3808.0,Ford,Focus,2005
T535ET96RUS,1,3019.0,Ford,Camry,2017
E535MM199RUS,1,2290.0,BMW,Focus,2000
9698MO178RUS,2,4184.0,Ford,Focus,2008
C903MC161RUS,2,5902.0,Ford,Focus,1980
8321XX154RUS,2,5116.0,Ford,Focus,1985
O085E8197RUS,2,2010.0,Ford,Focus,2010
Y778EE197RUS,1,4631.0,Audi,Focus,2004
O718MM163RUS,1,6060.0,Ford,Focus,2012
K436MO152RUS,1,5291.0,Ford,Mondeo,2000
9941KK197RUS,2,5088.0,Ford,Focus,2013
K338T8197RUS,2,5767.0,Ford,Touareg,2005
H907YK197RUS,1,2416.0,Ford,Focus,2009
T394KX197RUS,1,5225.0,Ford,Focus,1994
T017OX197RUS,1,6489.0,Ford,Focus,2015
Y8259C197RUS,1,5820.0,Ford,Focus,2002
M301CH161RUS,1,2577.0,Ford,,2006
E160YX77RUS,1,4645.0,Ford,Focus,1996
H968HY161RUS,1,1800.0,Volkswagen,Passat,1981
T478KX197RUS,2,1744.0,Ford,Focus,2012
O719MM163RUS,1,6372.0,Ford,Focus,1992
H115YO163RUS,2,3576.0,Ford,Camry,2002
7363C8197RUS,2,2806.0,Ford,Focus,1990
9883HX152RUS,1,4265.0,Ford,Focus,1983
Y8399C197RUS,1,5568.0,Ford,Focus,1988
C410X938RUS,1,4675.0,Ford,Focus,2007
H235YH197RUS,1,1956.0,Ford,Focus,2015
X242EC197RUS,1,4870.0,Ford,Focus,1988
K27188138RUS,2,6573.0,Ford,Octavia,2013
T912CT197RUS,2,3211.0,Ford,Touareg,1989
Y156E877RUS,2,2683.0,Ford,Focus,1998
9938KK197RUS,2,3786.0,Toyota,Focus,2001
M302CH161RUS,1,4671.0,Ford,Focus,2010
9469EX178RUS,1,1982.0,Ford,Focus,2014
9594HY161RUS,2,1254.0,Ford,Focus,2012
O134HE197RUS,2,3954.0,Ford,Focus,1980
9883HX152RUS,1,1369.0,Ford,Focus,1987
9135X938RUS,1,1120.0,Ford,Focus,2012
8685HE154RUS,1,3182.0,Ford,Focus,1999
9182CE154RUS,1,1369.0,Ford,Focus,2018
E316EH197RUS,1,4512.0,Skoda,Focus,2018
97968K152RUS,1,4935.0,Ford,Focus,1992
E577HE77RUS,1,1920.0,Volkswagen,Focus,2011
E33477152RUS,2,3491.0,Ford,Focus,2011
8601XX154RUS,1,6321.0,Ford,Focus,2017
M581CH197RUS,2,3981.0,Volkswagen,Focus,2007
E535MM199RUS,2,2422.0,Ford,Focus,2014
C592EY154RUS,2,2868.0,Ford,Octavia,2016
Y687HM197RUS,2,2306.0,Ford,Focus,2002
7369C8197RUS,2,3034.0,Toyota,Focus,1998
X286TC36RUS,1,6371.0,Ford,Focus,1984
T476KX197RUS,2,2315.0,Toyota,Passat,2017
T7318T163RUS,2,5578.0,Toyota,Passat,2008
9499KX178RUS,1,6981.0,Ford,Focus,2008
K2807K154RUS,1,1148.0,Ford,Focus,1992
7829C8197RUS,2,6607.0,Ford,Focus,2011
9469EX178RUS,1,6193.0,Ford,Golf,2005
K329T8197RUS,1,3267.0,Ford,Camry,2004
7363C8197RUS,2,4805.0,Ford,,1983
97977H178RUS,1,4402.0,Ford,Focus,1986
O719MM163RUS,2,3482.0,Toyota,Focus,2009
7828C8197RUS,2,4043.0,Volkswagen,Focus,2015
9498KX178RUS,2,6035.0,Ford,Focus,2004
8165XX154RUS,1,5544.0,Ford,Focus,1993
8610T8154RUS,1,4279.0,Ford,Focus,1981
E53488152RUS,2,5372.0,Ford,Focus,1987
9883HX152RUS,2,1176.0,Ford,Camry,1982
E53677152RUS,2,5802.0,Ford,Passat,1993
T479KX197RUS,2,4903.0,Ford,Focus,2012
704687163RUS,2,6655.0,Ford,Focus,2002
O275O7161RUS,1,4013.0,Ford,Octavia,1995
X767HY197RUS,1,2912.0,Ford,Focus,1986
M942OT152RUS,2,6480.0,Skoda,Focus,1984
E42577152RUS,1,1001.0,Ford,Corolla,1980
9470EX178RUS,2,3582.0,Ford,Focus,1998
Y7719C197RUS,1,3601.0,Ford,Focus,2014
C903MC161RUS,2,3087.0,Ford,Focus,2016
M0269X197RUS,1,2647.0,Ford,Focus,2006
Y778EE197RUS,2,4842.0,Volkswagen,Focus,2005
H237YH197RUS,2,3053.0,Ford,Focus,1997
K2797K154RUS,2,1738.0,Ford,Focus,1998
Y302E877RUS,2,4628.0,Ford,Focus,1993
8165XX154RUS,1,3589.0,Ford,Focus,1998
C515X938RUS,2,1063.0,Ford,Focus,1985
T6129O50RUS,1,3694.0,Ford,Focus,2018
7844C8197RUS,2,2688.0,Volkswagen,Focus,1982
Y7719C197RUS,1,5783.0,Ford,Focus,2006
Y7379Y50RUS,1,3857.0,Toyota,Golf,2014
X4108H125RUS,2,1221.0,Ford,Focus,2001
9883HX152RUS,2,1873.0,Ford,Focus,1983
7368C8197RUS,2,4338.0,Ford,Focus,2006
8513XX154RUS,2,2082.0,Volkswagen,Focus,2003
M0309X197RUS,1,4927.0,Ford,Focus,1999
X786CO96RUS,1,1093.0,Ford,Focus,1999
Y273O8197RUS,2,5351.0,Ford,Focus,1992
H004MH197RUS,2,3469.0,Ford,Octavia,1984
M581CH197RUS,2,1321.0,Skoda,Focus,1992
9468EX178RUS,2,4059.0,Toyota,Focus,2013
T6428M116RUS,1,2188.0,Toyota,Focus,1983
9428EX178RUS,2,1605.0,Ford,Focus,1988
T941CC96RUS,1,5421.0,Ford,Focus,1992
9182CE154RUS,1,2947.0,Ford,Corolla,1986
H217X836RUS,2,2090.0,Ford,Focus,1999
7608EE777RUS,1,6025.0,Ford,Focus,2012
T288CT96RUS,1,5756.0,Ford,Jetta,1980
H419XE197RUS,1,6709.0,Ford,Passat,1986
90159H178RUS,2,3865.0,Ford,Jetta,2007
M372CH197RUS,2,2884.0,Ford,Focus,1984
Y353O8197RUS,1,1416.0,Ford,Focus,1991
C584EY154RUS,2,2227.0,Ford,Focus,1983
8441XX154RUS,2,4199.0,Skoda,Focus,1981
Y305E877RUS,1,3534.0,Toyota,Corolla,1984
Y358O8197RUS,2,2226.0,Ford,Camry,1982
T395OT197RUS,1,5539.0,Ford,Passat,1984
9068EM178RUS,1,3644.0,Ford,Focus,1981
O017KO197RUS,1,2394.0,Toyota,Focus,2018
Y7129Y50RUS,2,3793.0,Volkswagen,Focus,1996
Y7449Y50RUS,2,3213.0,Ford,Golf,1998
Y388E877RUS,2,3822.0,Ford,Focus,1990
O50197197RUS,1,6874.0,Ford,Focus,1998
82337X197RUS,1,2730.0,Ford,Golf,1995
8166XX154RUS,1,3550.0,Ford,Focus,1989
8607XX154RUS,2,5691.0,Ford,Focus,1993
O83597197RUS,2,1840.0,Ford,Focus,1994
T171CC96RUS,2,4557.0,Ford,Focus,1992
O02397197RUS,1,5311.0,Ford,Focus,2008
8226XX154RUS,1,4650.0,Ford,Focus,1996
Y653E8750RUS,2,1788.0,Ford,Focus,2005
7783KT197RUS,1,6192.0,Ford,Focus,1998
9679EC178RUS,1,3560.0,Ford,Focus,1986
E591HE77RUS,1,1340.0,Ford,Passat,2014
Y969O8197RUS,2,6248.0,Ford,Focus,1983
M580CH197RUS,2,6492.0,Ford,Focus,2001
C422X938RUS,2,3811.0,Ford,Focus,1982
97998K152RUS,1,4485.0,Volkswagen,Focus,2008
9938OH154RUS,2,4852.0,Ford,Focus,2012
H977HY161RUS,2,4228.0,Ford,Octavia,2007
O68897197RUS,1,6949.0,Ford,Focus,2013
X761HY197RUS,2,2434.0,Ford,Camry,2008
O6939X163RUS,1,3658.0,Ford,Focus,2001
7826C8197RUS,1,5480.0,Ford,Octavia,1983
7370C8197RUS,1,2324.0,Toyota,Focus,1985
M373CH197RUS,2,1711.0,Toyota,Golf,1992
O68897197RUS,1,5149.0,Ford,Focus,2001
Y7429Y50RUS,2,5935.0,Ford,Focus,1988
X761HY197RUS,2,3463.0,Ford,Focus,2001
T654HT96RUS,2,6084.0,Ford,Focus,2015
T395KX197RUS,1,6078.0,Skoda,Focus,1998
Y8399C197RUS,2,3214.0,Ford,Focus,2012
E160YX77RUS,2,3946.0,Ford,Jetta,2015
9409H7178RUS,2,5276.0,Ford,Focus,1995
T020MM116RUS,2,1313.0,Ford,Camry,1994
9474EX178RUS,2,1932.0,Skoda,Focus,1999
H419XE197RUS,2,6020.0,Ford,Octavia,1980
9409H7178RUS,1,2627.0,Ford,Focus,2005
O22097197RUS,1,6737.0,Ford,Focus,1999
X015HY197RUS,2,6323.0,Ford,Golf,1993
O83697197RUS,1,1804.0,Ford,Focus,1991
9697MO178RUS,1,5960.0,Ford,Corolla,2009
E432XX77RUS,1,2822.0,Ford,Focus,2018
H966HY161RUS,1,5611.0,Toyota,Focus,1986
C515X938RUS,2,1487.0,Ford,Focus,2018
83298C154RUS,2,2256.0,Ford,Focus,1991
C798ET50RUS,2,6592.0,Ford,Focus,1981
92778M178RUS,1,4229.0,Skoda,Octavia,1989
T011MY163RUS,2,3270.0,Ford,Focus,2014
9141H8178RUS,1,2705.0,Ford,Camry,2014
M516CH161RUS,1,2907.0,Ford,Focus,2002
Y344E877RUS,1,3559.0,Ford,Focus,2010
92778M178RUS,2,1798.0,Ford,Corolla,2015
K339T8197RUS,2,2750.0,Ford,Focus,1992
X758HY197RUS,1,6700.0,Ford,,2017
73467Y96RUS,2,5544.0,Ford,Focus,1981
E577HE77RUS,1,2547.0,Ford,Focus,2017
E42377152RUS,1,2462.0,Ford,Focus,2010
M0279X197RUS,2,3693.0,Ford,Mondeo,1995
Y038TO197RUS,2,5056.0,Ford,Corolla,2000
O83597197RUS,2,6518.0,Ford,Focus,1989
98037H178RUS,1,2069.0,Ford,Focus,1997
8049HT125RUS,2,5813.0,Ford,Focus,2014
C419X938RUS,1,3509.0,Ford,,1995
R888RR28RUS,2,2345.0,Zeekr,001,2022
Q999QQ28RU,1,5556.0,Zeekr,X,2021
Z777ZZ28RUS,1,7777.0,Haval,H9,2023
A444AA28RUS,2,1000.0,Haval,F7,2024
Y555YY28RUS,1,2000.0,Geely,Coolray,2025
